1625352578946|729|513337693072|11948
1625352578946|729|513337693104|11949
1625352578946|782|513337693136|11950
1625352578946|1094|513337693500|11951
1625352578968|1875|513337692816|11952
1625352578968|781|513337692848|11953
1625352578968|781|513337692880|11954
1625352578968|782|513337692912|11955
1625352578968|781|513337693040|11956
1625352578968|729|513337693072|11957
1625352578968|833|513337693104|11958
1625352578968|729|513337693136|11959
1625352578968|1094|513337693500|11960
1625352578991|2031|513337692816|11961
1625352578991|781|513337692848|11962
1625352578991|781|513337692880|11963
1625352578991|781|513337692912|11964
1625352578991|782|513337693040|11965
1625352578991|781|513337693072|11966
1625352578991|730|513337693104|11967
1625352578991|729|513337693136|11968
1625352578991|1146|513337693500|11969
1625352579013|2292|513337692816|11970
1625352579013|885|513337692848|11971
1625352579013|729|513337692880|11972
1625352579013|781|513337692912|11973
1625352579013|729|513337693040|11974
1625352579013|729|513337693072|11975
1625352579013|781|513337693104|11976
1625352579013|730|513337693136|11977
1625352579013|1198|513337693500|11978
1625352579036|2136|513337692816|11979
1625352579036|1406|513337692848|11980
1625352579036|782|513337692880|11981
1625352579036|781|513337692912|11982
1625352579036|730|513337693040|11983
1625352579036|729|513337693072|11984
1625352579036|782|513337693104|11985
1625352579036|781|513337693136|11986
1625352579036|1146|513337693500|11987
1625352579058|1823|513337692816|11988
1625352579058|782|513337692848|11989
1625352579058|729|513337692880|11990
1625352579058|729|513337692912|11991
1625352579058|730|513337693040|11992
1625352579058|729|513337693072|11993
1625352579058|729|513337693104|11994
1625352579058|729|513337693136|11995
1625352579058|730|513337693500|11996
1625352579081|1927|513337692816|11997
1625352579081|1458|513337692848|11998
1625352579081|782|513337692880|11999
1625352579081|833|513337692912|12000
1625352579081|833|513337693040|12001
1625352579081|833|513337693072|12002
1625352579081|782|513337693104|12003
1625352579081|782|513337693136|12004
1625352579081|1406|513337693500|12005
1625352579103|2031|513337692816|12006
1625352579103|885|513337692848|12007
1625352579103|782|513337692880|12008
1625352579103|729|513337692912|12009
1625352579103|782|513337693040|12010
1625352579103|729|513337693072|12011
1625352579103|781|513337693104|12012
1625352579103|729|513337693136|12013
1625352579103|1146|513337693500|12014
1625352579126|1927|513337692816|12015
1625352579126|782|513337692848|12016
1625352579126|781|513337692880|12017
1625352579126|729|513337692912|12018
1625352579126|729|513337693040|12019
1625352579126|729|513337693072|12020
1625352579126|781|513337693104|12021
