1625352549477|4_0_1|5
1625352549478|4_1_1|5
1625352549478|4_1_0|5
1625352554511|4_0_1|1980
1625352554511|4_1_1|1980
1625352554511|4_1_0|1980
1625352557491|4_0_1|3195
1625352557491|4_1_1|3195
1625352557491|4_1_0|3195
1625352563028|4_0_1|5463
1625352563028|4_1_1|5463
1625352563028|4_1_0|5463
1625352565812|4_0_1|6588
1625352565812|4_1_1|6588
1625352565812|4_1_0|6588
1625352572663|4_0_1|9396
1625352572663|4_1_1|9396
1625352572663|4_1_0|9396
1625352575031|4_0_1|10341
1625352575031|4_1_1|10341
1625352575031|4_1_0|10341
1625352582679|4_0_1|13464
1625352582680|4_1_1|13464
1625352582680|4_1_0|13464
1625352585219|4_0_1|14481
1625352585219|4_1_1|14481
1625352585219|4_1_0|14481
1625352587890|4_0_1|15552
1625352587890|4_1_1|15552
1625352587890|4_1_0|15552
1625352596498|4_0_1|19062
1625352596498|4_1_1|19062
1625352596498|4_1_0|19062
1625352599630|4_0_1|20331
1625352599630|4_1_1|20331
1625352599630|4_1_0|20331
1625352602754|4_0_1|21582
1625352602755|4_1_1|21582
1625352602755|4_1_0|21582
1625352605494|4_0_1|22680
1625352605494|4_1_1|22680
1625352605494|4_1_0|22680
1625352615026|4_0_1|26568
1625352615026|4_1_1|26568
1625352615026|4_1_0|26568
1625352618055|4_0_1|27783
1625352618055|4_1_1|27783
1625352618055|4_1_0|27783
1625352620778|4_0_1|28917
1625352620778|4_1_1|28917
1625352620778|4_1_0|28917
1625352623154|4_0_1|29871
1625352623155|4_1_1|29871
1625352623155|4_1_0|29871
